#
# Ionization fraction vs T for C
#   logT = 3.95 to 7.00
# Calculated using the CHIANTI v9 atomic database and ChiantiPy
#
# logT = log10 of temperature in K
# I..VII = ionization stage of carbon
#
logT  I      II     III    IV     V      VI     VII    
5.99 0.0000 0.0000 0.0000 0.0002 0.2948 0.5754 0.1296 
6.00 0.0000 0.0000 0.0000 0.0002 0.2683 0.5786 0.1530 
6.01 0.0000 0.0000 0.0000 0.0002 0.2432 0.5779 0.1787 
6.02 0.0000 0.0000 0.0000 0.0001 0.2197 0.5733 0.2068 
6.03 0.0000 0.0000 0.0000 0.0001 0.1976 0.5651 0.2371 
6.04 0.0000 0.0000 0.0000 0.0001 0.1771 0.5535 0.2693 
6.05 0.0000 0.0000 0.0000 0.0001 0.1580 0.5387 0.3032 
6.06 0.0000 0.0000 0.0000 0.0001 0.1405 0.5212 0.3383 
6.07 0.0000 0.0000 0.0000 0.0001 0.1244 0.5012 0.3743 
6.08 0.0000 0.0000 0.0000 0.0001 0.1098 0.4794 0.4107 
6.09 0.0000 0.0000 0.0000 0.0001 0.0966 0.4561 0.4472 
6.10 0.0000 0.0000 0.0000 0.0001 0.0847 0.4319 0.4834 
6.11 0.0000 0.0000 0.0000 0.0000 0.0740 0.4070 0.5189 
6.12 0.0000 0.0000 0.0000 0.0000 0.0646 0.3820 0.5534 
6.13 0.0000 0.0000 0.0000 0.0000 0.0562 0.3572 0.5866 
6.14 0.0000 0.0000 0.0000 0.0000 0.0488 0.3329 0.6183 
6.15 0.0000 0.0000 0.0000 0.0000 0.0423 0.3094 0.6483 
6.16 0.0000 0.0000 0.0000 0.0000 0.0366 0.2867 0.6767 
6.17 0.0000 0.0000 0.0000 0.0000 0.0317 0.2651 0.7032 
6.18 0.0000 0.0000 0.0000 0.0000 0.0274 0.2447 0.7279 
6.19 0.0000 0.0000 0.0000 0.0000 0.0236 0.2256 0.7508 
6.20 0.0000 0.0000 0.0000 0.0000 0.0204 0.2076 0.7719 
6.21 0.0000 0.0000 0.0000 0.0000 0.0176 0.1910 0.7914 
6.22 0.0000 0.0000 0.0000 0.0000 0.0152 0.1755 0.8093 
6.23 0.0000 0.0000 0.0000 0.0000 0.0131 0.1612 0.8257 
6.24 0.0000 0.0000 0.0000 0.0000 0.0114 0.1480 0.8406 
6.25 0.0000 0.0000 0.0000 0.0000 0.0098 0.1359 0.8543 
6.26 0.0000 0.0000 0.0000 0.0000 0.0085 0.1248 0.8667 
6.27 0.0000 0.0000 0.0000 0.0000 0.0074 0.1146 0.8780 
6.28 0.0000 0.0000 0.0000 0.0000 0.0064 0.1053 0.8883 
6.29 0.0000 0.0000 0.0000 0.0000 0.0055 0.0968 0.8977 
6.30 0.0000 0.0000 0.0000 0.0000 0.0048 0.0890 0.9062 
6.31 0.0000 0.0000 0.0000 0.0000 0.0042 0.0819 0.9139 
6.32 0.0000 0.0000 0.0000 0.0000 0.0036 0.0754 0.9209 
6.33 0.0000 0.0000 0.0000 0.0000 0.0032 0.0695 0.9273 
6.34 0.0000 0.0000 0.0000 0.0000 0.0028 0.0641 0.9331 
6.35 0.0000 0.0000 0.0000 0.0000 0.0024 0.0591 0.9384 
6.36 0.0000 0.0000 0.0000 0.0000 0.0021 0.0546 0.9432 
6.37 0.0000 0.0000 0.0000 0.0000 0.0019 0.0505 0.9476 
6.38 0.0000 0.0000 0.0000 0.0000 0.0016 0.0467 0.9516 
6.39 0.0000 0.0000 0.0000 0.0000 0.0014 0.0433 0.9553 
6.40 0.0000 0.0000 0.0000 0.0000 0.0013 0.0401 0.9586 
6.41 0.0000 0.0000 0.0000 0.0000 0.0011 0.0372 0.9617 
6.42 0.0000 0.0000 0.0000 0.0000 0.0010 0.0346 0.9645 
6.43 0.0000 0.0000 0.0000 0.0000 0.0009 0.0321 0.9670 
6.44 0.0000 0.0000 0.0000 0.0000 0.0008 0.0299 0.9693 
6.45 0.0000 0.0000 0.0000 0.0000 0.0007 0.0278 0.9715 
6.46 0.0000 0.0000 0.0000 0.0000 0.0006 0.0259 0.9735 
6.47 0.0000 0.0000 0.0000 0.0000 0.0005 0.0242 0.9753 
6.48 0.0000 0.0000 0.0000 0.0000 0.0005 0.0226 0.9769 
6.49 0.0000 0.0000 0.0000 0.0000 0.0004 0.0211 0.9785 
6.50 0.0000 0.0000 0.0000 0.0000 0.0004 0.0197 0.9799 
6.51 0.0000 0.0000 0.0000 0.0000 0.0003 0.0185 0.9812 
6.52 0.0000 0.0000 0.0000 0.0000 0.0003 0.0173 0.9824 
6.53 0.0000 0.0000 0.0000 0.0000 0.0003 0.0162 0.9835 
6.54 0.0000 0.0000 0.0000 0.0000 0.0002 0.0152 0.9845 
6.55 0.0000 0.0000 0.0000 0.0000 0.0002 0.0143 0.9855 
6.56 0.0000 0.0000 0.0000 0.0000 0.0002 0.0135 0.9863 
6.57 0.0000 0.0000 0.0000 0.0000 0.0002 0.0127 0.9872 
6.58 0.0000 0.0000 0.0000 0.0000 0.0002 0.0119 0.9879 
6.59 0.0000 0.0000 0.0000 0.0000 0.0001 0.0112 0.9886 
6.60 0.0000 0.0000 0.0000 0.0000 0.0001 0.0106 0.9893 
6.61 0.0000 0.0000 0.0000 0.0000 0.0001 0.0100 0.9899 
6.62 0.0000 0.0000 0.0000 0.0000 0.0001 0.0094 0.9905 
6.63 0.0000 0.0000 0.0000 0.0000 0.0001 0.0089 0.9910 
6.64 0.0000 0.0000 0.0000 0.0000 0.0001 0.0084 0.9915 
6.65 0.0000 0.0000 0.0000 0.0000 0.0001 0.0080 0.9919 
6.66 0.0000 0.0000 0.0000 0.0000 0.0001 0.0076 0.9924 
6.67 0.0000 0.0000 0.0000 0.0000 0.0001 0.0072 0.9928 
6.68 0.0000 0.0000 0.0000 0.0000 0.0001 0.0068 0.9932 
6.69 0.0000 0.0000 0.0000 0.0000 0.0001 0.0064 0.9935 
6.70 0.0000 0.0000 0.0000 0.0000 0.0000 0.0061 0.9938 
6.71 0.0000 0.0000 0.0000 0.0000 0.0000 0.0058 0.9942 
6.72 0.0000 0.0000 0.0000 0.0000 0.0000 0.0055 0.9944 
6.73 0.0000 0.0000 0.0000 0.0000 0.0000 0.0052 0.9947 
6.74 0.0000 0.0000 0.0000 0.0000 0.0000 0.0050 0.9950 
6.75 0.0000 0.0000 0.0000 0.0000 0.0000 0.0048 0.9952 
6.76 0.0000 0.0000 0.0000 0.0000 0.0000 0.0045 0.9954 
6.77 0.0000 0.0000 0.0000 0.0000 0.0000 0.0043 0.9957 
6.78 0.0000 0.0000 0.0000 0.0000 0.0000 0.0041 0.9959 
6.79 0.0000 0.0000 0.0000 0.0000 0.0000 0.0039 0.9961 
6.80 0.0000 0.0000 0.0000 0.0000 0.0000 0.0037 0.9962 
6.81 0.0000 0.0000 0.0000 0.0000 0.0000 0.0036 0.9964 
6.82 0.0000 0.0000 0.0000 0.0000 0.0000 0.0034 0.9966 
6.83 0.0000 0.0000 0.0000 0.0000 0.0000 0.0033 0.9967 
6.84 0.0000 0.0000 0.0000 0.0000 0.0000 0.0031 0.9969 
6.85 0.0000 0.0000 0.0000 0.0000 0.0000 0.0030 0.9970 
6.86 0.0000 0.0000 0.0000 0.0000 0.0000 0.0029 0.9971 
6.87 0.0000 0.0000 0.0000 0.0000 0.0000 0.0027 0.9972 
6.88 0.0000 0.0000 0.0000 0.0000 0.0000 0.0026 0.9974 
6.89 0.0000 0.0000 0.0000 0.0000 0.0000 0.0025 0.9975 
6.90 0.0000 0.0000 0.0000 0.0000 0.0000 0.0024 0.9976 
6.91 0.0000 0.0000 0.0000 0.0000 0.0000 0.0023 0.9977 
6.92 0.0000 0.0000 0.0000 0.0000 0.0000 0.0022 0.9978 
6.93 0.0000 0.0000 0.0000 0.0000 0.0000 0.0021 0.9979 
6.94 0.0000 0.0000 0.0000 0.0000 0.0000 0.0020 0.9979 
6.95 0.0000 0.0000 0.0000 0.0000 0.0000 0.0020 0.9980 
6.96 0.0000 0.0000 0.0000 0.0000 0.0000 0.0019 0.9981 
6.97 0.0000 0.0000 0.0000 0.0000 0.0000 0.0018 0.9982 
6.98 0.0000 0.0000 0.0000 0.0000 0.0000 0.0017 0.9982 
6.99 0.0000 0.0000 0.0000 0.0000 0.0000 0.0017 0.9983 
7.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0016 0.9984 
