#
# Ionization fraction vs T for O
#   logT = 3.95 to 7.00
# Calculated using the CHIANTI atomic database and ChiantiPy
#
# logT = log10 of temperature in K
# I..IX = ionization stage of oxygen
#
logT  I      II     III    IV     V      VI     VII    VIII   IX     
6.01 0.0000 0.0000 0.0000 0.0000 0.0000 0.0044 0.9847 0.0108 0.0000 
6.02 0.0000 0.0000 0.0000 0.0000 0.0000 0.0042 0.9823 0.0134 0.0000 
6.03 0.0000 0.0000 0.0000 0.0000 0.0000 0.0041 0.9794 0.0164 0.0000 
6.04 0.0000 0.0000 0.0000 0.0000 0.0000 0.0039 0.9759 0.0201 0.0000 
6.05 0.0000 0.0000 0.0000 0.0000 0.0000 0.0038 0.9718 0.0244 0.0000 
6.06 0.0000 0.0000 0.0000 0.0000 0.0000 0.0037 0.9668 0.0294 0.0001 
6.07 0.0000 0.0000 0.0000 0.0000 0.0000 0.0036 0.9610 0.0353 0.0001 
6.08 0.0000 0.0000 0.0000 0.0000 0.0000 0.0034 0.9542 0.0421 0.0001 
6.09 0.0000 0.0000 0.0000 0.0000 0.0000 0.0033 0.9464 0.0500 0.0002 
6.10 0.0000 0.0000 0.0000 0.0000 0.0000 0.0033 0.9374 0.0590 0.0003 
6.11 0.0000 0.0000 0.0000 0.0000 0.0000 0.0032 0.9272 0.0691 0.0005 
6.12 0.0000 0.0000 0.0000 0.0000 0.0000 0.0031 0.9157 0.0806 0.0007 
6.13 0.0000 0.0000 0.0000 0.0000 0.0000 0.0030 0.9028 0.0933 0.0009 
6.14 0.0000 0.0000 0.0000 0.0000 0.0000 0.0029 0.8884 0.1074 0.0013 
6.15 0.0000 0.0000 0.0000 0.0000 0.0000 0.0028 0.8725 0.1228 0.0018 
6.16 0.0000 0.0000 0.0000 0.0000 0.0000 0.0027 0.8551 0.1396 0.0025 
6.17 0.0000 0.0000 0.0000 0.0000 0.0000 0.0027 0.8362 0.1577 0.0034 
6.18 0.0000 0.0000 0.0000 0.0000 0.0000 0.0026 0.8158 0.1770 0.0045 
6.19 0.0000 0.0000 0.0000 0.0000 0.0000 0.0025 0.7940 0.1975 0.0061 
6.20 0.0000 0.0000 0.0000 0.0000 0.0000 0.0024 0.7707 0.2189 0.0080 
6.21 0.0000 0.0000 0.0000 0.0000 0.0000 0.0023 0.7461 0.2411 0.0105 
6.22 0.0000 0.0000 0.0000 0.0000 0.0000 0.0022 0.7203 0.2638 0.0136 
6.23 0.0000 0.0000 0.0000 0.0000 0.0000 0.0021 0.6934 0.2869 0.0175 
6.24 0.0000 0.0000 0.0000 0.0000 0.0000 0.0021 0.6656 0.3101 0.0222 
6.25 0.0000 0.0000 0.0000 0.0000 0.0000 0.0020 0.6369 0.3331 0.0280 
6.26 0.0000 0.0000 0.0000 0.0000 0.0000 0.0019 0.6076 0.3555 0.0350 
6.27 0.0000 0.0000 0.0000 0.0000 0.0000 0.0018 0.5778 0.3772 0.0433 
6.28 0.0000 0.0000 0.0000 0.0000 0.0000 0.0017 0.5476 0.3977 0.0531 
6.29 0.0000 0.0000 0.0000 0.0000 0.0000 0.0016 0.5172 0.4167 0.0645 
6.30 0.0000 0.0000 0.0000 0.0000 0.0000 0.0015 0.4868 0.4340 0.0777 
6.31 0.0000 0.0000 0.0000 0.0000 0.0000 0.0014 0.4566 0.4493 0.0927 
6.32 0.0000 0.0000 0.0000 0.0000 0.0000 0.0013 0.4266 0.4623 0.1098 
6.33 0.0000 0.0000 0.0000 0.0000 0.0000 0.0012 0.3972 0.4728 0.1288 
6.34 0.0000 0.0000 0.0000 0.0000 0.0000 0.0011 0.3683 0.4807 0.1498 
6.35 0.0000 0.0000 0.0000 0.0000 0.0000 0.0010 0.3403 0.4858 0.1728 
6.36 0.0000 0.0000 0.0000 0.0000 0.0000 0.0009 0.3132 0.4881 0.1978 
6.37 0.0000 0.0000 0.0000 0.0000 0.0000 0.0009 0.2871 0.4876 0.2244 
6.38 0.0000 0.0000 0.0000 0.0000 0.0000 0.0008 0.2622 0.4843 0.2527 
6.39 0.0000 0.0000 0.0000 0.0000 0.0000 0.0007 0.2385 0.4785 0.2823 
6.40 0.0000 0.0000 0.0000 0.0000 0.0000 0.0006 0.2162 0.4701 0.3130 
6.41 0.0000 0.0000 0.0000 0.0000 0.0000 0.0006 0.1953 0.4596 0.3446 
6.42 0.0000 0.0000 0.0000 0.0000 0.0000 0.0005 0.1758 0.4471 0.3766 
6.43 0.0000 0.0000 0.0000 0.0000 0.0000 0.0005 0.1577 0.4329 0.4089 
6.44 0.0000 0.0000 0.0000 0.0000 0.0000 0.0004 0.1410 0.4174 0.4412 
6.45 0.0000 0.0000 0.0000 0.0000 0.0000 0.0004 0.1258 0.4007 0.4731 
6.46 0.0000 0.0000 0.0000 0.0000 0.0000 0.0003 0.1119 0.3833 0.5045 
6.47 0.0000 0.0000 0.0000 0.0000 0.0000 0.0003 0.0993 0.3654 0.5350 
6.48 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0880 0.3472 0.5646 
6.49 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0778 0.3289 0.5930 
6.50 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0687 0.3109 0.6203 
6.51 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0606 0.2931 0.6461 
6.52 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0533 0.2758 0.6707 
6.53 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0469 0.2591 0.6938 
6.54 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0413 0.2431 0.7155 
6.55 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0363 0.2278 0.7358 
6.56 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0319 0.2132 0.7548 
6.57 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0280 0.1994 0.7725 
6.58 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0246 0.1863 0.7890 
6.59 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0217 0.1741 0.8042 
6.60 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0190 0.1626 0.8183 
6.61 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0168 0.1518 0.8314 
6.62 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0148 0.1417 0.8435 
