#
# CIE cooling function for Z=0.05 solar
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
logT   Total    Cont   FFCont  FBCont  2PCont
7.710 -22.757 -22.759 -22.781 -24.062 -26.384
7.720 -22.753 -22.755 -22.777 -24.065 -26.386
7.730 -22.749 -22.750 -22.772 -24.067 -26.387
7.740 -22.744 -22.746 -22.767 -24.070 -26.389
7.750 -22.740 -22.741 -22.762 -24.072 -26.391
7.760 -22.736 -22.737 -22.758 -24.074 -26.392
7.770 -22.731 -22.733 -22.753 -24.076 -26.394
7.780 -22.727 -22.728 -22.748 -24.078 -26.396
7.790 -22.722 -22.724 -22.743 -24.080 -26.398
7.800 -22.718 -22.719 -22.739 -24.081 -26.400
7.810 -22.714 -22.715 -22.734 -24.083 -26.402
7.820 -22.709 -22.710 -22.729 -24.084 -26.405
7.830 -22.705 -22.706 -22.725 -24.085 -26.407
7.840 -22.700 -22.702 -22.720 -24.087 -26.410
7.850 -22.696 -22.697 -22.715 -24.088 -26.414
7.860 -22.691 -22.693 -22.711 -24.088 -26.417
7.870 -22.687 -22.688 -22.706 -24.089 -26.421
7.880 -22.683 -22.684 -22.701 -24.090 -26.425
7.890 -22.678 -22.679 -22.696 -24.090 -26.429
7.900 -22.674 -22.675 -22.692 -24.091 -26.434
7.910 -22.669 -22.670 -22.687 -24.091 -26.438
7.920 -22.665 -22.666 -22.682 -24.091 -26.444
7.930 -22.660 -22.661 -22.678 -24.091 -26.449
7.940 -22.656 -22.657 -22.673 -24.091 -26.455
7.950 -22.651 -22.652 -22.668 -24.091 -26.461
7.960 -22.647 -22.648 -22.664 -24.091 -26.468
7.970 -22.642 -22.643 -22.659 -24.091 -26.475
7.980 -22.638 -22.639 -22.655 -24.091 -26.482
7.990 -22.634 -22.634 -22.650 -24.091 -26.490
8.000 -22.629 -22.630 -22.645 -24.090 -26.498
