#
# CIE cooling function for Z=10 solar
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
logT   Total    Cont   FFCont  FBCont  2PCont
7.360 -22.239 -22.852 -22.950 -23.963 -23.753
7.370 -22.252 -22.849 -22.945 -23.965 -23.763
7.380 -22.263 -22.847 -22.940 -23.968 -23.773
7.390 -22.275 -22.844 -22.936 -23.970 -23.782
7.400 -22.285 -22.841 -22.931 -23.973 -23.792
7.410 -22.296 -22.839 -22.926 -23.975 -23.801
7.420 -22.305 -22.836 -22.921 -23.978 -23.810
7.430 -22.315 -22.833 -22.916 -23.981 -23.818
7.440 -22.323 -22.830 -22.911 -23.984 -23.827
7.450 -22.332 -22.827 -22.907 -23.987 -23.835
7.460 -22.340 -22.824 -22.902 -23.990 -23.842
7.470 -22.347 -22.821 -22.897 -23.993 -23.850
7.480 -22.354 -22.818 -22.892 -23.996 -23.857
7.490 -22.361 -22.814 -22.887 -23.999 -23.864
7.500 -22.367 -22.811 -22.882 -24.002 -23.870
7.510 -22.373 -22.808 -22.878 -24.005 -23.876
7.520 -22.379 -22.804 -22.873 -24.008 -23.882
7.530 -22.384 -22.801 -22.868 -24.011 -23.887
7.540 -22.389 -22.797 -22.863 -24.015 -23.892
7.550 -22.394 -22.794 -22.858 -24.018 -23.896
7.560 -22.398 -22.790 -22.854 -24.021 -23.900
7.570 -22.402 -22.786 -22.849 -24.024 -23.904
7.580 -22.405 -22.783 -22.844 -24.028 -23.908
7.590 -22.409 -22.779 -22.839 -24.031 -23.911
7.600 -22.412 -22.775 -22.834 -24.034 -23.914
7.610 -22.414 -22.771 -22.830 -24.037 -23.916
7.620 -22.417 -22.767 -22.825 -24.041 -23.919
7.630 -22.419 -22.764 -22.820 -24.044 -23.921
7.640 -22.421 -22.760 -22.815 -24.047 -23.923
7.650 -22.423 -22.756 -22.811 -24.050 -23.924
7.660 -22.425 -22.752 -22.806 -24.053 -23.926
7.670 -22.426 -22.748 -22.801 -24.056 -23.927
7.680 -22.428 -22.744 -22.796 -24.059 -23.928
7.690 -22.429 -22.740 -22.792 -24.062 -23.929
7.700 -22.430 -22.736 -22.787 -24.065 -23.930
7.710 -22.431 -22.732 -22.782 -24.067 -23.931
7.720 -22.432 -22.728 -22.777 -24.070 -23.932
7.730 -22.432 -22.724 -22.773 -24.073 -23.933
7.740 -22.433 -22.720 -22.768 -24.075 -23.934
7.750 -22.433 -22.716 -22.763 -24.077 -23.935
7.760 -22.434 -22.711 -22.758 -24.080 -23.936
7.770 -22.434 -22.707 -22.754 -24.082 -23.937
7.780 -22.434 -22.703 -22.749 -24.084 -23.939
7.790 -22.435 -22.699 -22.744 -24.086 -23.940
7.800 -22.435 -22.695 -22.740 -24.087 -23.942
7.810 -22.435 -22.691 -22.735 -24.089 -23.944
7.820 -22.435 -22.687 -22.730 -24.090 -23.946
7.830 -22.435 -22.683 -22.725 -24.092 -23.948
7.840 -22.436 -22.679 -22.721 -24.093 -23.951
7.850 -22.436 -22.675 -22.716 -24.094 -23.954
