#
# CIE cooling function for solar metallicity (Z=1)
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
# For solar, we also include the line cooling contributions
# by element
#
logT   Total    Cont   FFCont  FBCont  2PCont    H       He      C       N       O       Ne      Mg      Si      S       Fe  
5.260 -21.242 -23.219 -23.914 -23.641 -23.596 -23.862 -22.843 -23.017 -22.303 -21.371 -22.491 -23.801 -24.332 -22.525 -23.433
5.270 -21.238 -23.229 -23.909 -23.643 -23.621 -23.877 -22.865 -23.069 -22.333 -21.360 -22.478 -23.760 -24.347 -22.546 -23.434
5.280 -21.235 -23.238 -23.903 -23.644 -23.647 -23.891 -22.888 -23.120 -22.369 -21.349 -22.464 -23.720 -24.358 -22.571 -23.436
5.290 -21.231 -23.248 -23.898 -23.646 -23.671 -23.905 -22.910 -23.170 -22.409 -21.340 -22.451 -23.680 -24.365 -22.600 -23.438
5.300 -21.228 -23.256 -23.893 -23.648 -23.696 -23.920 -22.932 -23.219 -22.453 -21.330 -22.437 -23.642 -24.369 -22.635 -23.440
5.310 -21.226 -23.265 -23.887 -23.650 -23.721 -23.934 -22.954 -23.267 -22.503 -21.322 -22.423 -23.604 -24.368 -22.675 -23.442
5.320 -21.223 -23.272 -23.882 -23.652 -23.745 -23.948 -22.975 -23.314 -22.555 -21.314 -22.410 -23.568 -24.363 -22.720 -23.444
5.330 -21.221 -23.280 -23.877 -23.654 -23.769 -23.962 -22.997 -23.360 -22.611 -21.307 -22.396 -23.532 -24.355 -22.769 -23.444
5.340 -21.219 -23.287 -23.872 -23.656 -23.793 -23.976 -23.018 -23.406 -22.669 -21.301 -22.383 -23.497 -24.342 -22.820 -23.443
5.350 -21.218 -23.294 -23.866 -23.658 -23.817 -23.990 -23.039 -23.450 -22.728 -21.296 -22.370 -23.464 -24.325 -22.875 -23.439
5.360 -21.217 -23.300 -23.861 -23.660 -23.840 -24.004 -23.060 -23.494 -22.788 -21.293 -22.356 -23.432 -24.304 -22.931 -23.433
5.370 -21.218 -23.306 -23.856 -23.662 -23.864 -24.017 -23.081 -23.536 -22.848 -21.291 -22.343 -23.400 -24.280 -22.988 -23.423
5.380 -21.219 -23.312 -23.851 -23.664 -23.887 -24.031 -23.101 -23.578 -22.909 -21.291 -22.330 -23.370 -24.252 -23.046 -23.409
5.390 -21.223 -23.318 -23.846 -23.666 -23.910 -24.045 -23.122 -23.619 -22.969 -21.294 -22.317 -23.341 -24.222 -23.104 -23.390
5.400 -21.228 -23.323 -23.841 -23.668 -23.933 -24.058 -23.142 -23.659 -23.029 -21.299 -22.305 -23.313 -24.189 -23.162 -23.367
5.410 -21.236 -23.328 -23.836 -23.670 -23.956 -24.072 -23.162 -23.699 -23.087 -21.308 -22.292 -23.286 -24.153 -23.219 -23.339
5.420 -21.246 -23.332 -23.831 -23.672 -23.978 -24.086 -23.182 -23.738 -23.145 -21.321 -22.280 -23.259 -24.116 -23.274 -23.307
5.430 -21.260 -23.337 -23.826 -23.674 -24.001 -24.099 -23.202 -23.776 -23.202 -21.337 -22.268 -23.234 -24.077 -23.328 -23.270
5.440 -21.277 -23.341 -23.822 -23.676 -24.023 -24.112 -23.222 -23.814 -23.258 -21.358 -22.257 -23.209 -24.036 -23.380 -23.231
5.450 -21.298 -23.345 -23.817 -23.678 -24.045 -24.126 -23.241 -23.850 -23.312 -21.384 -22.245 -23.186 -23.995 -23.430 -23.189
5.460 -21.322 -23.348 -23.812 -23.680 -24.067 -24.139 -23.261 -23.887 -23.366 -21.415 -22.234 -23.163 -23.953 -23.477 -23.146
