lambda       flux        ferr     
4082.00      8.98805     0.105217 
4083.00      9.05845     0.105067 
4084.00      8.95194     0.104797 
4085.00      8.87121     0.104828 
4086.00      8.77228     0.104399 
4087.00      8.70674     0.104366 
4088.00      8.66773     0.104059 
4089.00      8.31980     0.104219 
4090.00      8.62479     0.103579 
4091.00      8.59855     0.103673 
4092.00      8.47881     0.103310 
4093.00      8.33321     0.103302 
4094.00      8.53696     0.103117 
4095.00      8.57090     0.102794 
4096.00      8.37234     0.102846 
4097.00      8.71798     0.102922 
4098.00      10.6044     0.103472 
4099.00      16.1622     0.103804 
4100.00      26.0310     0.104033 
4101.00      38.7204     0.103770 
4102.00      48.0646     0.103254 
4103.00      47.6344     0.103506 
4104.00      39.1762     0.103106 
4105.00      25.3395     0.103355 
4106.00      13.6834     0.103726 
4107.00      9.77152     0.102195 
4108.00      9.11601     0.101934 
4109.00      9.28853     0.101573 
4110.00      8.93874     0.101617 
4111.00      8.55521     0.101524 
4112.00      8.69265     0.101299 
4113.00      8.79755     0.101178 
4114.00      8.62488     0.101173 
4115.00      8.69470     0.101032 
4116.00      8.71258     0.100826 
4117.00      8.58086     0.100861 
4118.00      8.76324     0.100698 
4119.00      8.77615     0.100579 
4120.00      8.81155     0.100402 
4121.00      8.59333     0.100395 
4122.00      8.62231     0.100116 
4123.00      8.55619     0.100050 
4124.00      8.19031     0.100002 
4125.00      8.31388    0.0996627 
4126.00      8.40558    0.0998051 
4127.00      8.47587    0.0996576 
4128.00      8.65463    0.0995725 
4129.00      8.69902    0.0994267 
4130.00      8.57154    0.0995214 
4131.00      8.64696    0.0992975 
4132.00      8.55631    0.0993432 
4133.00      8.73772    0.0991255 
4134.00      8.66612    0.0990299 
4135.00      8.50208    0.0988942 
4136.00      8.38432    0.0989367 
4137.00      8.60900    0.0987761 
4138.00      8.85864    0.0987007 
4139.00      8.98382    0.0985954 
4140.00      8.76050    0.0984527 
4141.00      8.26908    0.0985462 
4142.00      8.28873    0.0984784 
4143.00      8.32227    0.0983297 
4144.00      8.32785    0.0983213 
4145.00      8.60367    0.0982302 
4146.00      8.70024    0.0982601 
4147.00      8.48559    0.0981738 
4148.00      8.45925    0.0981924 
4149.00      8.47967    0.0981349 
4150.00      8.26596    0.0981994 
4151.00      8.36851    0.0982608 
4152.00      8.72079    0.0980668 
4153.00      8.65961    0.0983259 
4154.00      8.37740    0.0983900 
4155.00      8.46045    0.0982039 
4156.00      8.38140    0.0983861 
4157.00      8.36656    0.0984242 
4158.00      8.70186    0.0983647 
4159.00      8.47276    0.0985048 
4160.00      8.54593    0.0984373 
4161.00      8.64180    0.0983948 
4162.00      8.34115    0.0986007 
4163.00      8.46361    0.0984300 
4164.00      8.61207    0.0985390 
4165.00      8.68864    0.0986186 
4166.00      8.62677    0.0984920 
4167.00      8.39583    0.0986473 
4168.00      8.40932    0.0985385 
4169.00      8.17093    0.0986547 
4170.00      8.04138    0.0987182 
4171.00      8.11895    0.0988220 
4172.00      8.34715    0.0986316 
4173.00      8.17256    0.0988358 
4174.00      8.08140    0.0987720 
4175.00      8.09733    0.0988420 
4176.00      8.10766    0.0988566 
4177.00      8.24669    0.0988840 
4178.00      8.48138    0.0988517 
4179.00      8.26510    0.0990485 
4180.00      8.12621    0.0988830 
4181.00      8.29921    0.0990276 
4182.00      8.28096    0.0990732 
4183.00      8.15205    0.0990363 
4184.00      8.12065    0.0991915 
4185.00      8.09459    0.0991546 
4186.00      8.05403    0.0993216 
4187.00      8.00757    0.0992627 
4188.00      7.70556    0.0993321 
4189.00      7.90819    0.0992922 
4190.00      7.96259    0.0993934 
4191.00      7.98015    0.0994640 
4192.00      8.18214    0.0994286 
4193.00      8.28050    0.0994939 
4194.00      8.32145    0.0995941 
4195.00      8.32382    0.0996395 
4196.00      8.22771    0.0996730 
4197.00      8.03742    0.0998742 
4198.00      7.90483    0.0998378 
4199.00      7.75942    0.0999914 
4200.00      7.96907    0.0999833 
4201.00      7.99627     0.100069 
4202.00      8.04083     0.100149 
4203.00      8.08718     0.100140 
4204.00      8.19129     0.100130 
4205.00      8.39779     0.100143 
4206.00      8.26633     0.100207 
4207.00      8.39144     0.100057 
4208.00      8.41323     0.100172 
4209.00      8.16003     0.100104 
4210.00      8.01694     0.100074 
4211.00      8.16278     0.100018 
4212.00      8.38821     0.100128 
4213.00      8.39101    0.0999270 
4214.00      8.36647    0.0999336 
4215.00      8.41211    0.0998807 
4216.00      8.24417    0.0996320 
4217.00      8.13890    0.0997504 
4218.00      8.02366    0.0993869 
4219.00      8.02484    0.0995274 
4220.00      8.15245    0.0994669 
4221.00      8.10729    0.0991810 
4222.00      7.91372    0.0994375 
4223.00      7.91831    0.0993575 
4224.00      7.81671    0.0993496 
4225.00      7.95363    0.0993132 
4226.00      8.01775    0.0992133 
4227.00      7.87079    0.0991927 
4228.00      7.92004    0.0990720 
4229.00      7.99210    0.0990212 
4230.00      7.81276    0.0988388 
4231.00      7.73234    0.0990010 
4232.00      7.82275    0.0987377 
4233.00      7.68125    0.0987266 
4234.00      7.73543    0.0987903 
4235.00      7.92955    0.0984919 
4236.00      8.17739    0.0985550 
4237.00      8.17960    0.0983471 
4238.00      7.99673    0.0983204 
4239.00      7.87398    0.0980660 
4240.00      7.84073    0.0979780 
