#
# Nicastro et al. 2018 RGS1 Spectrum
#
# Column1: wavelength (angstrom), column2: err_wavelength
# Column3: flux (Jansky), column4: err_flux
# Column 5: Best-fit model, 6: continuum
#
wavelength                      err_wavelength                  flux                            err_flux                        model                           continuum
1.533500100000000010e+01        1.500039830000000039e-02        4.611995790000000245e-06        1.748947230000000064e-07        4.492722379999999645e-06        4.492722379999999645e-06
1.537000079999999969e+01        1.999954690000000160e-02        4.693327810000000321e-06        1.862638040000000098e-07        4.504912789999999867e-06        4.504912789999999867e-06
1.540500070000000044e+01        1.500018030000000065e-02        4.789068039999999708e-06        1.869646270000000038e-07        4.516656189999999996e-06        4.516656189999999996e-06
1.544000149999999927e+01        2.000048199999999998e-02        4.774046830000000204e-06        1.672124339999999882e-07        4.528360930000000070e-06        4.528360930000000070e-06
1.547500040000000077e+01        1.499923600000000086e-02        4.504476689999999751e-06        1.679738660000000094e-07        4.540347619999999912e-06        4.540347619999999912e-06
1.550500010000000017e+01        1.500023810000000041e-02        4.622820139999999812e-06        1.534395149999999905e-07        4.550583530000000287e-06        4.550583530000000287e-06
1.553000070000000044e+01        1.000036020000000074e-02        4.199350310000000356e-06        1.665963229999999987e-07        4.558964519999999933e-06        4.558964519999999933e-06
1.555000019999999950e+01        9.999398140000000795e-03        4.503761829999999793e-06        1.772543780000000016e-07        4.565611109999999816e-06        4.565611109999999816e-06
1.556999970000000033e+01        1.000007890000000066e-02        4.491188520000000161e-06        1.603327179999999933e-07        4.572249510000000271e-06        4.572249510000000271e-06
1.559000020000000042e+01        1.000008080000000001e-02        4.531106240000000310e-06        1.591062220000000067e-07        4.579120289999999614e-06        4.579120289999999614e-06
1.561000059999999934e+01        1.000056969999999976e-02        4.709107089999999614e-06        1.642898159999999917e-07        4.585860549999999835e-06        4.585860549999999835e-06
1.563000109999999943e+01        9.999199769999999807e-03        4.699522379999999936e-06        1.614637030000000037e-07        4.592341160000000290e-06        4.592341160000000290e-06
1.565000060000000026e+01        1.000066749999999928e-02        4.583825559999999602e-06        1.592924120000000068e-07        4.598813579999999623e-06        4.598813579999999623e-06
1.567000099999999918e+01        9.999684990000000384e-03        4.502312550000000072e-06        1.605857849999999938e-07        4.605276900000000251e-06        4.605276900000000251e-06
1.569000050000000002e+01        9.999781850000000194e-03        4.452156650000000419e-06        1.590886849999999982e-07        4.611731580000000031e-06        4.611731580000000031e-06
