#
# Q1422+2307 (z=3.62) - spectrum from William Keel, Univ. of Alabama
#
# lam is restframe (emitted) wavelength in Angstroms
# flux is arbitrary units
#
 lam            flux
 923.8810       54120.31
 923.9820       54248.47
 924.0830       55420.15
 924.1840       51415.37
 924.2850       55136.38
 924.3860       57704.02
 924.4870       32846.92
 924.5880       35492.37
 924.6890       17418.22
 924.7900       21775.42
 924.8910       22635.88
 924.9920       24109.64
 925.0930       42472.13
 925.1940        57708.6
 925.2950       57983.21
 925.3960       44801.76
 925.4970       26480.47
 925.5980       34769.22
 925.6990       52326.17
 925.8000       60605.77
 925.9010        62738.6
 926.0020        61965.1
 926.1030       58582.78
 926.2040       57452.29
 926.3050        52815.9
 926.4060       51584.71
 926.5070       53918.93
 926.6080       54385.77
 926.7090       52651.13
 926.8100       35908.86
 926.9110       6699.143
 927.0120       16.88123
 927.1130       163.3417
 927.2140       945.9902
 927.3150       4104.045
 927.4160       13555.33
 927.5170       16219.08
 927.6180       309.8023
 927.7190      -619.3066
 927.8200      -802.3823
 927.9210      -738.3058
 928.0220       3962.162
 928.1230       24960.94
 928.2240       41250.09
 928.3250        39684.8
 928.4260       26576.58
 928.5270       13294.44
 928.6280       9861.775
 928.7290       8648.899
 928.8300       3614.318
 928.9310       337.2636
 929.0320      -166.1944
 929.1330       1454.025
 929.2340       6273.492
 929.3350      -60.92593
 929.4360      -244.0016
 929.5370       71.80394
 929.6380       85.53461
 929.7390       3161.206
 929.8400       35254.37
 929.9410       47341.93
 930.0420       52664.86
 930.1430       49570.88
 930.2440       39213.38
 930.3450       39295.76
 930.4460       50866.14
 930.5470       52678.59
 930.6480       58706.36
 930.7490       60994.81
 930.8500       60912.43
 930.9510        61292.3
 931.0520       59878.04
 931.1530       58537.01
 931.2540       58738.39
 931.3550       62775.21
 931.4560       64358.82
 931.5570       64290.16
 931.6580       65223.85
 931.7590       63699.74
 931.8600       60898.69
 931.9610       58312.75
 932.0620       61219.07
 932.1630       63502.95
 932.2640       64505.28
 932.3650       61901.02
 932.4660       61392.99
 932.5670       61489.11
 932.6680       63104.75
 932.7690       63612.79
 932.8700       61077.19
 932.9710       61704.23
 933.0720       62953.72
 933.1730       64523.59
 933.2740       62578.41
 933.3750       47419.75
 933.4760       32828.62
 933.5770       42275.32
 933.6780       56129.57
 933.7790       56312.65
 933.8800       54655.81
 933.9810       58385.98
 934.0820       56344.68
 934.1830       39391.88
 934.2840        45190.8
 934.3850       59662.93
 934.4860       54591.73
 934.5870       52660.29
 934.6880       48055.93
 934.7890       52641.98
 934.8900       60212.16
 934.9910       57150.22
 935.0920       49776.84
 935.1930       56422.49
 935.2940       58683.48
 935.3950       56395.03
 935.4960       56472.84
 935.5970       50472.53
 935.6980       52513.82
 935.7990       59800.24
 935.9000        53310.2
 936.0010        23285.8
 936.1020        2094.79
 936.2030       497.4549
 936.3040      -628.4604
 936.4050      -280.6167
 936.5060       3019.322
 936.6070       7847.943
 936.7080       8163.748
 936.8090        22155.3
 936.9100       48019.32
 937.0110       55529.99
 937.1120       54834.31
 937.2130       39689.38
 937.3140       12379.06
 937.4150       8269.017
 937.5160       25331.67
 937.6170       32018.51
 937.7180       13418.02
 937.8190       6488.605
 937.9200        26750.5
 938.0210       46472.32
 938.1220       52838.79
 938.2230       50138.42
 938.3240       45913.95
 938.4250       44009.96
 938.5260       39002.84
 938.6270       27372.96
 938.7280       2122.251
 938.8290      -33.46456
 938.9300      -115.8486
 939.0310       1692.023
 939.1320       11427.07
 939.2330       36805.93
 939.3340       28210.53
 939.4350       12319.57
 939.5360       7985.249
 939.6370       3710.433
 939.7380       5879.879
 939.8390       13971.82
 939.9400       21738.81
 940.0410       8593.975
 940.1420       332.6867
 940.2430       2813.362
 940.3440       3623.471
 940.4450       12026.64
 940.5460       19180.32
 940.6470       22228.54
 940.7480       10282.85
 940.8490       16077.19
 940.9500        24988.4
 941.0510       32933.88
 941.1520       55067.73
