#
# HST STIS spectrum of 3C273 (z=0.158) from William Keel, Univ of Alabama
#
# lam is observed wavelengths in Angstroms
# flux is arbitrary units
#
lam          flux
1156.8408    0.29524
1156.8534    0.29524
1156.8658    0.29524
1156.8784    0.29524
1156.8910    0.32914
1156.9036    0.34800
1156.9160    0.34800
1156.9286    0.34800
1156.9412    0.34800
1156.9537    0.39199
1156.9663    0.39199
1156.9788    0.39199
1156.9913    0.36591
1157.0039    0.39199
1157.0165    0.39199
1157.0291    0.39199
1157.0415    0.36591
1157.0541    0.39199
1157.0667    0.39840
1157.0792    0.39840
1157.0918    0.39840
1157.1044    0.39840
1157.1168    0.36591
1157.1294    0.36638
1157.1420    0.35421
1157.1545    0.35431
1157.1671    0.35421
1157.1796    0.35421
1157.1921    0.34984
1157.2047    0.34044
1157.2173    0.33844
1157.2299    0.31454
1157.2423    0.31197
1157.2549    0.31197
1157.2675    0.31197
1157.2800    0.31197
1157.2926    0.30844
1157.3052    0.31197
1157.3176    0.31197
1157.3302    0.31454
1157.3428    0.31454
1157.3553    0.31796
1157.3679    0.31796
1157.3805    0.32311
1157.3929    0.32311
1157.4055    0.33586
1157.4181    0.32311
1157.4307    0.33345
1157.4432    0.33342
1157.4558    0.33345
1157.4683    0.33342
1157.4808    0.33345
1157.4934    0.33345
1157.5060    0.33345
1157.5186    0.33345
1157.5311    0.33345
1157.5437    0.33345
1157.5562    0.36467
1157.5687    0.38298
1157.5813    0.38960
1157.5939    0.38298
1157.6064    0.38298
1157.6190    0.36467
1157.6316    0.34348
1157.6440    0.34348
1157.6566    0.34332
1157.6692    0.34332
1157.6818    0.34214
1157.6943    0.33579
1157.7069    0.33288
1157.7195    0.33288
1157.7319    0.33288
1157.7445    0.31841
1157.7571    0.31841
1157.7697    0.31647
1157.7822    0.31411
1157.7948    0.31411
1157.8074    0.31411
1157.8199    0.28625
1157.8324    0.28625
1157.8450    0.28293
1157.8575    0.27522
1157.8701    0.27522
1157.8827    0.27522
1157.8953    0.27522
1157.9078    0.27153
1157.9204    0.27153
1157.9329    0.27849
1157.9454    0.27153
1157.9580    0.27849
1157.9706    0.33458
1157.9832    0.33458
1157.9957    0.34153
1158.0083    0.34153
1158.0209    0.34153
1158.0334    0.34469
1158.0459    0.40173
1158.0585    0.40586
1158.0710    0.40173
1158.0836    0.40173
1158.0962    0.34469
1158.1088    0.34469
1158.1213    0.34469
1158.1339    0.34469
1158.1465    0.30663
1158.1591    0.30663
1158.1715    0.29919
1158.1841    0.29919
1158.1967    0.29919
1158.2092    0.30663
1158.2218    0.33813
1158.2344    0.35727
1158.2469    0.35727
1158.2595    0.35790
1158.2721    0.35790
1158.2847    0.35790
1158.2972    0.35790
1158.3098    0.35790
1158.3223    0.35727
1158.3348    0.35727
1158.3474    0.35790
1158.3600    0.35790
1158.3726    0.35790
1158.3851    0.35790
1158.3977    0.38872
1158.4103    0.38872
