#
# Keck ESI Spectrum of Quasar J1306+0356, z=6.016
#
# Source: Fan et al. 2001, AJ, 122, 2833
#         provided by the authors
#
# Wavelengths: 3901-10930 Angstroms
#
# wave - wavelength in Agnstroms
# flam - Flux in scaled F-lambda units
# sig - uncertainty on flam
wave          flam     sig
6352.3284263 0.00549561 0.0240277
6356.12753775 0.011669 0.0235646
6359.9266492 0.0345639 0.0252862
6363.72576065 0.037314 0.0244128
6367.52487211 0.0296895 0.024382
6371.32398356 0.0665911 0.0225082
6375.12309501 0.105929 0.022782
6378.92220646 0.0918078 0.0231841
6382.72131791 0.0828682 0.0236529
6386.52042937 0.0653783 0.0233483
6390.31954082 0.0254068 0.0235167
6394.11865227 1.25298e-05 0.0234023
6397.91776372 -0.00783636 0.0233992
6401.71687518 0.0164839 0.02342
6405.51598663 0.0 0.0
6409.31509808 0.0 0.0
6413.11420953 0.0 0.0
6416.91332099 0.00413387 0.0239371
6420.71243244 0.0511108 0.0240898
6424.51154389 0.0538452 0.0240519
6428.31065534 0.0565863 0.0237648
6432.1097668 0.0555139 0.0236381
6435.90887825 0.0451767 0.0237054
6439.7079897 0.140554 0.0239883
6443.50710115 0.27146 0.0243146
6447.3062126 0.230675 0.0241923
6451.10532406 0.0899229 0.0240621
6454.90443551 0.080647 0.023852
6458.70354696 0.129328 0.0242386
6462.50265841 0.0395608 0.0249763
6466.30176987 -0.0398042 0.0257584
6470.10088132 -0.0208711 0.0255528
6473.89999277 -0.0287974 0.0251228
6477.69910422 -0.00239664 0.0243085
6481.49821568 0.0648938 0.024129
6485.29732713 0.0904922 0.023727
6489.09643858 0.0719853 0.0235995
6492.89555003 0.0317979 0.0240406
6496.69466149 0.0306282 0.0246317
6500.49377294 0.119506 0.02545
6504.29288439 0.167362 0.0249241
6508.09199584 0.112415 0.0242105
6511.89110729 0.126619 0.0234447
6515.69021875 0.197869 0.0233856
6519.4893302 0.2117 0.0238324
6523.28844165 0.20948 0.0239397
6527.0875531 0.137531 0.0241783
6530.88666456 0.0196337 0.0241519
6534.68577601 -0.0103205 0.0239012
6538.48488746 0.00591951 0.0239648
6542.28399891 0.0262535 0.0235728
6546.08311037 0.0393369 0.0233888
