#
# CMB Power Spectrum
#
# Computed for different values of the electron Thompson
# scattering optical depth: tau_e = {0,0.05,0.1,0.2,0.5}
#
# Based on CAMB output, reformatted for the ISM/IGM Book
# Figure 9.5
#
# l = power spectrum angular multipole moment
# tauXX = Delta_T in uK for tau_e = XX
#
   l  tau0.00   tau0.05   tau0.10   tau0.20   tau0.50
 318  65.60488  62.40673  59.36918  53.76988  40.19701 
 319  65.28476  62.10233  59.07961  53.50795  40.00125 
 320  64.96538  61.79806  58.79031  53.24660  39.80703 
 321  64.64441  61.49309  58.50043  52.98302  39.61060 
 322  64.32418  61.18823  58.20996  52.72096  39.41573 
 323  64.00312  60.88268  57.91891  52.45760  39.21989 
 324  63.68202  60.57722  57.62899  52.19483  39.02435 
 325  63.36087  60.27271  57.33847  51.93169  38.82911 
 326  63.03967  59.96666  57.04735  51.66914  38.63418 
 327  62.71842  59.66154  56.75738  51.40623  38.43956 
 328  62.39872  59.35655  56.46769  51.14391  38.24526 
 329  62.07817  59.05167  56.17739  50.88123  38.04997 
 330  61.75840  58.74776  55.88828  50.61917  37.85631 
 331  61.43940  58.44485  55.60036  50.35872  37.66298 
 332  61.12037  58.14120  55.31184  50.09790  37.46999 
 333  60.80296  57.83857  55.02454  49.83774  37.27734 
 334  60.48553  57.53782  54.73756  49.57923  37.08639 
 335  60.16893  57.23635  54.45089  49.32038  36.89444 
 336  59.85399  56.93681  54.16641  49.06221  36.70422 
 337  59.53990  56.63832  53.88228  48.80574  36.51438 
 338  59.22668  56.34004  53.59851  48.54894  36.32492 
 339  58.91604  56.04462  53.31791  48.29493  36.13724 
 340  58.60546  55.74944  53.03772  48.04165  35.94997 
 341  58.29665  55.45539  52.75794  47.78807  35.76171 
 342  57.98965  55.16339  52.47952  47.53735  35.57668 
 343  57.68449  54.87258  52.20345  47.28742  35.39209 
 344  57.38118  54.58480  51.92976  47.04041  35.20937 
 345  57.07889  54.29733  51.65656  46.79316  35.02571 
 346  56.77940  54.01296  51.38580  46.54782  34.84537 
 347  56.48185  53.72988  51.11653  46.30443  34.66410 
 348  56.18719  53.44904  50.84978  46.06191  34.48478 
 349  55.89454  53.17048  50.58458  45.82248  34.30598 
 350  55.60396  52.89423  50.32097  45.58399  34.12917 
 351  55.31727  52.62129  50.06196  45.34975  33.95585 
 352  55.03181  52.34978  49.80361  45.11541  33.78017 
 353  54.75034  52.08167  49.54796  44.88430  33.60804 
 354  54.47018  51.81506  49.29503  44.65423  33.43651 
 355  54.19410  51.55192  49.04386  44.42747  33.26710 
 356  53.92031  51.29230  48.79652  44.20294  33.09834 
 357  53.65072  51.03430  48.55204  43.98068  32.93327 
 358  53.38445  50.78090  48.31045  43.76186  32.76889 
 359  53.11967  50.52920  48.07078  43.54423  32.60675 
 360  52.86019  50.28220  47.83513  43.33013  32.44688 
 361  52.60323  50.03699  47.60252  43.11844  32.28777 
 362  52.34978  49.79659  47.37299  42.91037  32.13254 
 363  52.10086  49.55906  47.14658  42.70597  31.97812 
 364  51.85557  49.32545  46.92441  42.50412  31.82609 
 365  51.61298  49.09481  46.70439  42.30484  31.67807 
 366  51.37509  48.86819  46.48871  42.10938  31.53110 
 367  51.14196  48.64669  46.27742  41.91778  31.38758 
 368  50.91169  48.42624  46.06843  41.72769  31.24484 
 369  50.68629  48.21307  45.86502  41.54275  31.10756 
 370  50.46583  48.00208  45.66508  41.36182  30.97208 
 371  50.24838  47.79539  45.46757  41.18373  30.83845 
 372  50.03599  47.59307  45.27582  41.00853  30.70798 
 373  49.82771  47.39515  45.08658  40.83871  30.58071 
 374  49.62459  47.20275  44.90323  40.67186  30.45669 
 375  49.42570  47.01276  44.72248  40.50802  30.33447 
 376  49.23211  46.82841  44.54773  40.34972  30.21688 
 377  49.04386  46.64869  44.37680  40.19453  30.10249 
 378  48.85898  46.47365  44.20973  40.04373  29.99016 
 379  48.67957  46.30335  44.04770  39.89737  29.88127 
 380  48.50567  46.13784  43.89077  39.75550  29.77684 
 381  48.33632  45.97717  43.73785  39.61692  29.67474 
 382  48.17157  45.82030  43.58899  39.48164  29.57465 
 383  48.01354  45.66946  43.44537  39.35226  29.47915 
 384  47.86021  45.52472  43.30820  39.22882  29.38860 
 385  47.71163  45.38282  43.17291  39.10754  29.29881 
 386  47.56890  45.24710  43.04416  38.99102  29.21387 
 387  47.43100  45.11652  42.91969  38.87801  29.13108 
 388  47.29799  44.99000  42.80070  38.77112  29.05202 
 389  47.17097  44.86981  42.68606  38.66782  28.97637 
 390  47.04997  44.75489  42.57699  38.56812  28.90433 
