#
# Draine & Li IR Dust Emission
# "big" graphitic grains (a>250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda       lamIlamH       sigExt
   0.4252    1.00000E-90    2.29719E-22
   0.4271    1.00000E-90    2.29286E-22
   0.4291    1.00000E-90    2.28851E-22
   0.4310    1.00000E-90    2.28416E-22
   0.4330    1.00000E-90    2.27980E-22
   0.4350    1.00000E-90    2.27535E-22
   0.4370    1.00000E-90    2.27081E-22
   0.4389    1.00000E-90    2.26626E-22
   0.4410    1.00000E-90    2.26166E-22
   0.4430    1.00000E-90    2.25704E-22
   0.4450    1.00000E-90    2.25241E-22
   0.4470    1.00000E-90    2.24778E-22
   0.4491    1.00000E-90    2.24314E-22
   0.4511    1.00000E-90    2.23849E-22
   0.4532    1.00000E-90    2.23384E-22
   0.4552    1.00000E-90    2.22918E-22
   0.4573    1.00000E-90    2.22451E-22
   0.4594    1.00000E-90    2.21984E-22
   0.4615    1.00000E-90    2.21515E-22
   0.4636    1.00000E-90    2.21046E-22
   0.4657    1.00000E-90    2.20576E-22
   0.4679    1.00000E-90    2.20105E-22
   0.4700    1.00000E-90    2.19634E-22
   0.4721    1.00000E-90    2.19161E-22
   0.4743    1.00000E-90    2.18687E-22
   0.4765    1.00000E-90    2.18213E-22
   0.4786    1.00000E-90    2.17738E-22
   0.4808    1.00000E-90    2.17262E-22
   0.4830    1.00000E-90    2.16784E-22
   0.4852    1.00000E-90    2.16306E-22
   0.4874    1.00000E-90    2.15822E-22
   0.4897    1.00000E-90    2.15334E-22
   0.4919    1.00000E-90    2.14846E-22
   0.4941    1.00000E-90    2.14358E-22
   0.4964    1.00000E-90    2.13869E-22
   0.4987    1.00000E-90    2.13379E-22
   0.5009    1.00000E-90    2.12890E-22
   0.5032    1.00000E-90    2.12400E-22
   0.5055    1.00000E-90    2.11909E-22
   0.5078    1.00000E-90    2.11418E-22
   0.5101    1.00000E-90    2.10927E-22
   0.5125    1.00000E-90    2.10435E-22
   0.5148    1.00000E-90    2.09943E-22
   0.5172    1.00000E-90    2.09451E-22
   0.5195    1.00000E-90    2.08958E-22
   0.5219    1.00000E-90    2.08464E-22
   0.5243    1.00000E-90    2.07970E-22
   0.5267    1.00000E-90    2.07476E-22
   0.5291    1.00000E-90    2.06981E-22
   0.5315    1.00000E-90    2.06486E-22
   0.5339    1.00000E-90    2.05990E-22
   0.5363    1.00000E-90    2.05493E-22
   0.5388    1.00000E-90    2.04997E-22
   0.5413    1.00000E-90    2.04499E-22
   0.5437    1.00000E-90    2.04001E-22
   0.5462    1.00000E-90    2.03503E-22
   0.5487    1.00000E-90    2.03004E-22
   0.5512    1.00000E-90    2.02507E-22
   0.5537    1.00000E-90    2.02010E-22
   0.5563    1.00000E-90    2.01514E-22
   0.5588    1.00000E-90    2.01017E-22
   0.5613    1.00000E-90    2.00519E-22
   0.5639    1.00000E-90    2.00022E-22
   0.5665    1.00000E-90    1.99524E-22
   0.5691    1.00000E-90    1.99026E-22
   0.5717    1.00000E-90    1.98527E-22
   0.5743    1.00000E-90    1.98028E-22
   0.5769    1.00000E-90    1.97529E-22
   0.5795    1.00000E-90    1.97029E-22
   0.5822    1.00000E-90    1.96529E-22
   0.5848    1.00000E-90    1.96029E-22
   0.5875    1.00000E-90    1.95528E-22
   0.5902    1.00000E-90    1.95027E-22
   0.5929    1.00000E-90    1.94526E-22
   0.5956    1.00000E-90    1.94024E-22
   0.5983    1.00000E-90    1.93522E-22
   0.6010    1.00000E-90    1.93019E-22
   0.6038    1.00000E-90    1.92517E-22
   0.6065    1.00000E-90    1.92013E-22
   0.6093    1.00000E-90    1.91510E-22
   0.6121    1.00000E-90    1.91006E-22
   0.6149    1.00000E-90    1.90501E-22
   0.6177    1.00000E-90    1.89996E-22
   0.6205    1.00000E-90    1.89491E-22
   0.6233    1.00000E-90    1.88986E-22
   0.6262    1.00000E-90    1.88480E-22
   0.6290    1.00000E-90    1.87973E-22
   0.6319    1.00000E-90    1.87466E-22
   0.6348    1.00000E-90    1.86959E-22
   0.6377    1.00000E-90    1.86452E-22
   0.6406    1.00000E-90    1.85944E-22
   0.6435    1.00000E-90    1.85435E-22
   0.6465    1.00000E-90    1.84927E-22
   0.6494    1.00000E-90    1.84417E-22
   0.6524    1.00000E-90    1.83908E-22
   0.6554    1.00000E-90    1.83398E-22
   0.6584    1.00000E-90    1.82887E-22
   0.6614    1.00000E-90    1.82375E-22
   0.6644    1.00000E-90    1.81863E-22
   0.6674    1.00000E-90    1.81351E-22
   0.6705    1.00000E-90    1.80838E-22
   0.6735    1.00000E-90    1.80324E-22
   0.6766    1.00000E-90    1.79810E-22
   0.6797    1.00000E-90    1.79296E-22
   0.6828    1.00000E-90    1.78781E-22
   0.6859    1.00000E-90    1.78265E-22
   0.6890    1.00000E-90    1.77749E-22
   0.6922    1.00000E-90    1.77233E-22
   0.6953    1.00000E-90    1.76716E-22
   0.6985    1.00000E-90    1.76199E-22
   0.7017    1.00000E-90    1.75682E-22
   0.7049    1.00000E-90    1.75164E-22
   0.7081    1.00000E-90    1.74646E-22
   0.7114    1.00000E-90    1.74127E-22
   0.7146    1.00000E-90    1.73608E-22
   0.7179    1.00000E-90    1.73088E-22
   0.7211    1.00000E-90    1.72568E-22
   0.7244    1.00000E-90    1.72047E-22
   0.7277    1.00000E-90    1.71526E-22
   0.7311    1.00000E-90    1.71004E-22
   0.7344    1.00000E-90    1.70482E-22
   0.7378    1.00000E-90    1.69959E-22
   0.7411    1.00000E-90    1.69436E-22
   0.7445    1.00000E-90    1.68912E-22
   0.7479    1.00000E-90    1.68388E-22
   0.7513    1.00000E-90    1.67864E-22
   0.7547    1.00000E-90    1.67339E-22
   0.7582    1.00000E-90    1.66813E-22
   0.7617    1.00000E-90    1.66287E-22
   0.7651    1.00000E-90    1.65761E-22
   0.7686    1.00000E-90    1.65234E-22
   0.7721    1.00000E-90    1.64707E-22
   0.7757    1.00000E-90    1.64180E-22
   0.7792    1.00000E-90    1.63652E-22
   0.7828    1.00000E-90    1.63123E-22
   0.7863    1.00000E-90    1.62595E-22
   0.7899    1.00000E-90    1.62065E-22
   0.7935    1.00000E-90    1.61536E-22
   0.7971    1.00000E-90    1.61006E-22
   0.8008    1.00000E-90    1.60476E-22
   0.8044    1.00000E-90    1.59945E-22
   0.8081    1.00000E-90    1.59414E-22
   0.8118    1.00000E-90    1.58883E-22
   0.8155    1.00000E-90    1.58351E-22
   0.8192    1.00000E-90    1.57819E-22
   0.8230    1.00000E-90    1.57286E-22
   0.8267    1.00000E-90    1.56754E-22
   0.8305    1.00000E-90    1.56220E-22
   0.8343    1.00000E-90    1.55687E-22
   0.8381    1.00000E-90    1.55153E-22
   0.8419    1.00000E-90    1.54619E-22
   0.8458    1.00000E-90    1.54084E-22
   0.8496    1.00000E-90    1.53550E-22
   0.8535    1.00000E-90    1.53015E-22
   0.8574    1.00000E-90    1.52479E-22
   0.8613    1.00000E-90    1.51944E-22
   0.8652    1.00000E-90    1.51408E-22
   0.8692    1.00000E-90    1.50872E-22
   0.8732    1.00000E-90    1.50335E-22
   0.8772    1.00000E-90    1.49799E-22
   0.8812    1.00000E-90    1.49262E-22
   0.8852    1.00000E-90    1.48725E-22
   0.8892    1.00000E-90    1.48188E-22
   0.8933    1.00000E-90    1.47650E-22
   0.8974    1.00000E-90    1.47112E-22
   0.9015    1.00000E-90    1.46574E-22
   0.9056    1.00000E-90    1.46036E-22
   0.9097    1.00000E-90    1.45497E-22
   0.9139    1.00000E-90    1.44958E-22
   0.9180    1.00000E-90    1.44419E-22
   0.9222    1.00000E-90    1.43880E-22
   0.9264    1.00000E-90    1.43340E-22
   0.9307    1.00000E-90    1.42801E-22
   0.9349    1.00000E-90    1.42261E-22
   0.9392    1.00000E-90    1.41721E-22
   0.9435    1.00000E-90    1.41181E-22
   0.9478    1.00000E-90    1.40641E-22
   0.9521    1.00000E-90    1.40101E-22
   0.9564    1.00000E-90    1.39561E-22
   0.9608    1.00000E-90    1.39020E-22
   0.9652    1.00000E-90    1.38480E-22
   0.9696    1.00000E-90    1.37939E-22
   0.9740    1.00000E-90    1.37398E-22
   0.9785    1.00000E-90    1.36857E-22
   0.9829    1.00000E-90    1.36317E-22
   0.9874    1.00000E-90    1.35776E-22
   0.9919    1.00000E-90    1.35235E-22
   0.9965    1.00000E-90    1.34694E-22
   1.0010    1.00000E-90    1.34153E-22
   1.0056    1.00000E-90    1.33612E-22
   1.0102    1.00000E-90    1.33070E-22
   1.0148    1.00000E-90    1.32529E-22
   1.0194    1.00000E-90    1.31988E-22
   1.0241    1.00000E-90    1.31447E-22
   1.0287    1.00000E-90    1.30906E-22
   1.0334    1.00000E-90    1.30365E-22
   1.0382    1.00000E-90    1.29824E-22
   1.0429    1.00000E-90    1.29283E-22
   1.0477    1.00000E-90    1.28742E-22
   1.0524    1.00000E-90    1.28201E-22
   1.0572    1.00000E-90    1.27661E-22
   1.0621    1.00000E-90    1.27121E-22
   1.0669    1.00000E-90    1.26580E-22
   1.0718    1.00000E-90    1.26040E-22
   1.0767    1.00000E-90    1.25499E-22
   1.0816    1.00000E-90    1.24959E-22
   1.0865    1.00000E-90    1.24419E-22
   1.0915    1.00000E-90    1.23880E-22
   1.0965    1.00000E-90    1.23340E-22
   1.1015    1.00000E-90    1.22801E-22
   1.1065    1.00000E-90    1.22261E-22
   1.1116    1.00000E-90    1.21722E-22
   1.1166    1.00000E-90    1.21183E-22
   1.1217    1.00000E-90    1.20644E-22
   1.1269    1.00000E-90    1.20106E-22
   1.1320    1.00000E-90    1.19568E-22
   1.1372    1.00000E-90    1.19031E-22
   1.1424    1.00000E-90    1.18494E-22
   1.1476    1.00000E-90    1.17957E-22
   1.1528    1.00000E-90    1.17420E-22
   1.1581    1.00000E-90    1.16884E-22
   1.1634    1.00000E-90    1.16348E-22
