#
# Carbon Optical/NIR reflectance spectrum
#
# Source: USGS Digital Spectral Library splib07a
#         crustal.usgs.gov/speclab/QueryAll07a.php
#
# Sample: Carbon Black GDS68
#         crustal.usgs.gov/speclab/data/HTMLmetadata/Carbon_Black_GDS68_sm.ap._BECKa_AREF.html
#
# wavelength in microns
# reflectance and error on an absolute 0..1 scale
#
# non-measurement records omitted in creating this merged data file
#
wavelength      reflectance     error
2.0650001e+000  1.2245308e-002  8.5108890e-004
2.0750000e+000  1.2065768e-002  8.3584851e-004
2.0850000e+000  1.0705520e-002  8.7000837e-004
2.0950000e+000  1.0909949e-002  8.7436067e-004
2.1050000e+000  1.1156729e-002  8.5901789e-004
2.1150000e+000  1.2976171e-002  1.0413288e-003
2.1250000e+000  9.8926276e-003  1.0707697e-003
2.1350000e+000  1.0919356e-002  1.0059110e-003
2.1450000e+000  1.2042006e-002  7.2453934e-004
2.1550000e+000  1.2387774e-002  7.0201507e-004
2.1650000e+000  1.1615871e-002  6.1134499e-004
2.1750000e+000  1.2504569e-002  8.8495930e-004
2.1849999e+000  1.2450491e-002  9.1092294e-004
2.1949999e+000  1.1232503e-002  1.0839797e-003
2.2050002e+000  1.1168698e-002  1.2855801e-003
2.2150002e+000  1.1298922e-002  1.4303982e-003
2.2250001e+000  1.0381727e-002  1.5776039e-003
2.2350001e+000  1.2662235e-002  1.6820446e-003
2.2450001e+000  9.5106699e-003  2.2360878e-003
2.2550001e+000  1.1015246e-002  2.3201574e-003
2.2650001e+000  6.6866903e-003  3.2275000e-003
2.2750001e+000  1.0378513e-002  3.1805476e-003
2.2850001e+000  9.1728615e-003  5.1886667e-003
2.2950001e+000  7.9420554e-003  5.8447770e-003
2.3050001e+000  4.9122651e-003  5.9345267e-003
2.3150001e+000  1.8853970e-002  3.4618531e-003
2.3250000e+000  1.1072718e-002  1.7694526e-003
2.3350000e+000  1.2291468e-002  8.7319571e-004
2.3450000e+000  1.0858207e-002  7.6546572e-004
2.3550000e+000  1.1825258e-002  8.3036453e-004
2.3650000e+000  1.1970905e-002  1.2301933e-003
2.3750000e+000  9.9307094e-003  1.3112040e-003
2.3859999e+000  1.0465735e-002  7.2488986e-004
2.4000001e+000  1.1338281e-002  5.0724781e-004
2.4180000e+000  1.1867607e-002  4.3096888e-004
2.4400001e+000  1.1186212e-002  4.1249889e-004
2.4660001e+000  1.0113529e-002  4.0792278e-004
2.4960001e+000  1.0817914e-002  3.8731477e-004
2.5279999e+000  9.9214995e-003  5.0752173e-004
2.5599999e+000  9.6252104e-003  7.2867220e-004
2.5920000e+000  9.1738775e-003  1.2253822e-003
2.6239998e+000  1.0449891e-002  1.6815349e-003
2.6559999e+000  1.0658758e-002  2.6027707e-003
2.6879997e+000  1.0484736e-002  5.0128871e-003
2.7520001e+000  2.1932496e-002  1.0826822e-002
2.7839999e+000  1.0828639e-002  1.0085386e-002
2.8160000e+000  2.9977500e-003  8.3646132e-003
2.8479998e+000  1.1619193e-002  6.9199265e-003
2.8799999e+000  3.5463218e-003  7.7592554e-003
2.9120002e+000  2.7434031e-002  1.1018138e-002
