#
# Draine & Li IR Dust Emission
# "small" silicate grains (a<250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda      lamIlamH     sigExt    
   0.7344   1.6645E-28   1.8443E-24
   0.7378   1.6900E-28   1.8359E-24
   0.7411   1.7157E-28   1.8275E-24
   0.7445   1.7417E-28   1.8192E-24
   0.7479   1.7680E-28   1.8109E-24
   0.7513   1.7945E-28   1.8027E-24
   0.7547   1.8212E-28   1.7945E-24
   0.7582   1.8482E-28   1.7864E-24
   0.7617   1.8755E-28   1.7783E-24
   0.7651   1.9030E-28   1.7702E-24
   0.7686   1.9307E-28   1.7622E-24
   0.7721   1.9587E-28   1.7542E-24
   0.7757   1.9870E-28   1.7463E-24
   0.7792   2.0155E-28   1.7384E-24
   0.7828   2.0442E-28   1.7306E-24
   0.7863   2.0732E-28   1.7228E-24
   0.7899   2.1024E-28   1.7150E-24
   0.7935   2.1319E-28   1.7073E-24
   0.7971   2.1616E-28   1.6996E-24
   0.8008   2.1916E-28   1.6919E-24
   0.8044   2.2218E-28   1.6843E-24
   0.8081   2.2523E-28   1.6768E-24
   0.8118   2.2830E-28   1.6692E-24
   0.8155   2.3140E-28   1.6618E-24
   0.8192   2.3452E-28   1.6543E-24
   0.8230   2.3766E-28   1.6469E-24
   0.8267   2.4083E-28   1.6395E-24
   0.8305   2.4401E-28   1.6322E-24
   0.8343   2.4723E-28   1.6249E-24
   0.8381   2.5046E-28   1.6176E-24
   0.8419   2.5372E-28   1.6104E-24
   0.8458   2.5701E-28   1.6032E-24
   0.8496   2.6031E-28   1.5960E-24
   0.8535   2.6364E-28   1.5889E-24
   0.8574   2.6699E-28   1.5818E-24
   0.8613   2.7036E-28   1.5747E-24
   0.8652   2.7376E-28   1.5677E-24
   0.8692   2.7717E-28   1.5607E-24
   0.8732   2.8061E-28   1.5538E-24
   0.8772   2.8407E-28   1.5469E-24
   0.8812   2.8755E-28   1.5400E-24
   0.8852   2.9105E-28   1.5331E-24
   0.8892   2.9458E-28   1.5263E-24
   0.8933   2.9812E-28   1.5195E-24
   0.8974   3.0169E-28   1.5127E-24
   0.9015   3.0527E-28   1.5060E-24
   0.9056   3.0886E-28   1.4993E-24
   0.9097   3.1247E-28   1.4925E-24
   0.9139   3.1611E-28   1.4859E-24
   0.9180   3.1976E-28   1.4792E-24
   0.9222   3.2343E-28   1.4726E-24
   0.9264   3.2712E-28   1.4660E-24
   0.9307   3.3083E-28   1.4595E-24
   0.9349   3.3456E-28   1.4530E-24
   0.9392   3.3831E-28   1.4465E-24
   0.9435   3.4207E-28   1.4400E-24
   0.9478   3.4586E-28   1.4336E-24
   0.9521   3.4966E-28   1.4272E-24
   0.9564   3.5347E-28   1.4209E-24
   0.9608   3.5731E-28   1.4145E-24
   0.9652   3.6116E-28   1.4082E-24
   0.9696   3.6502E-28   1.4020E-24
   0.9740   3.6891E-28   1.3957E-24
   0.9785   3.7281E-28   1.3895E-24
   0.9829   3.7672E-28   1.3833E-24
   0.9874   3.8065E-28   1.3772E-24
   0.9919   3.8459E-28   1.3711E-24
   0.9965   3.8855E-28   1.3650E-24
   1.0010   3.9253E-28   1.3589E-24
   1.0056   3.9653E-28   1.3529E-24
   1.0102   4.0055E-28   1.3470E-24
   1.0148   4.0458E-28   1.3411E-24
   1.0194   4.0863E-28   1.3352E-24
   1.0241   4.1268E-28   1.3293E-24
   1.0287   4.1676E-28   1.3235E-24
   1.0334   4.2085E-28   1.3177E-24
   1.0382   4.2495E-28   1.3119E-24
   1.0429   4.2906E-28   1.3062E-24
   1.0477   4.3319E-28   1.3005E-24
   1.0524   4.3732E-28   1.2948E-24
   1.0572   4.4147E-28   1.2891E-24
   1.0621   4.4564E-28   1.2835E-24
   1.0669   4.4981E-28   1.2779E-24
   1.0718   4.5399E-28   1.2723E-24
   1.0767   4.5819E-28   1.2668E-24
   1.0816   4.6239E-28   1.2613E-24
   1.0865   4.6661E-28   1.2558E-24
   1.0915   4.7083E-28   1.2503E-24
   1.0965   4.7506E-28   1.2449E-24
   1.1015   4.7931E-28   1.2395E-24
   1.1065   4.8356E-28   1.2341E-24
   1.1116   4.8782E-28   1.2288E-24
   1.1166   4.9209E-28   1.2235E-24
   1.1217   4.9636E-28   1.2182E-24
   1.1269   5.0064E-28   1.2129E-24
   1.1320   5.0493E-28   1.2076E-24
   1.1372   5.0922E-28   1.2024E-24
   1.1424   5.1352E-28   1.1972E-24
   1.1476   5.1783E-28   1.1920E-24
   1.1528   5.2214E-28   1.1869E-24
   1.1581   5.2645E-28   1.1818E-24
   1.1634   5.3078E-28   1.1767E-24
   1.1687   5.3510E-28   1.1716E-24
   1.1740   5.3943E-28   1.1666E-24
   1.1794   5.4376E-28   1.1615E-24
   1.1847   5.4810E-28   1.1565E-24
   1.1902   5.5244E-28   1.1516E-24
   1.1956   5.5679E-28   1.1466E-24
   1.2010   5.6113E-28   1.1417E-24
   1.2065   5.6548E-28   1.1368E-24
   1.2120   5.6983E-28   1.1319E-24
   1.2176   5.7418E-28   1.1270E-24
   1.2231   5.7853E-28   1.1222E-24
   1.2287   5.8288E-28   1.1174E-24
   1.2343   5.8723E-28   1.1126E-24
   1.2400   5.9158E-28   1.1078E-24
   1.2456   5.9593E-28   1.1031E-24
   1.2513   6.0031E-28   1.0984E-24
   1.2570   6.0476E-28   1.0939E-24
   1.2628   6.0922E-28   1.0894E-24
   1.2685   6.1369E-28   1.0850E-24
   1.2743   6.1816E-28   1.0806E-24
   1.2801   6.2264E-28   1.0762E-24
   1.2860   6.2713E-28   1.0719E-24
   1.2918   6.3162E-28   1.0676E-24
   1.2977   6.3612E-28   1.0633E-24
   1.3037   6.4062E-28   1.0590E-24
   1.3096   6.4515E-28   1.0548E-24
   1.3156   6.4968E-28   1.0507E-24
   1.3216   6.5421E-28   1.0465E-24
   1.3276   6.5873E-28   1.0424E-24
   1.3337   6.6325E-28   1.0383E-24
   1.3398   6.6777E-28   1.0342E-24
   1.3459   6.7229E-28   1.0301E-24
   1.3520   6.7680E-28   1.0261E-24
   1.3582   6.8130E-28   1.0221E-24
   1.3644   6.8580E-28   1.0180E-24
   1.3706   6.9029E-28   1.0140E-24
   1.3769   6.9478E-28   1.0101E-24
   1.3832   6.9923E-28   1.0060E-24
   1.3895   7.0366E-28   1.0020E-24
   1.3958   7.0809E-28   9.9804E-25
   1.4022   7.1250E-28   9.9407E-25
   1.4086   7.1691E-28   9.9012E-25
   1.4150   7.2132E-28   9.8618E-25
   1.4215   7.2571E-28   9.8226E-25
   1.4280   7.3009E-28   9.7836E-25
   1.4345   7.3447E-28   9.7447E-25
   1.4411   7.3883E-28   9.7060E-25
   1.4476   7.4318E-28   9.6675E-25
   1.4542   7.4752E-28   9.6292E-25
   1.4609   7.5187E-28   9.5911E-25
