#
# Draine & Li IR Dust Emission
# "big" silicate grains (a>250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda       lamIlamH       sigExt
   0.8118    1.00000E-90    1.22914E-22
   0.8155    1.00000E-90    1.21560E-22
   0.8192    1.00000E-90    1.20215E-22
   0.8230    1.00000E-90    1.18880E-22
   0.8267    1.00000E-90    1.17554E-22
   0.8305    1.00000E-90    1.16238E-22
   0.8343    1.00000E-90    1.14931E-22
   0.8381    1.00000E-90    1.13633E-22
   0.8419    1.00000E-90    1.12344E-22
   0.8458    1.00000E-90    1.11065E-22
   0.8496    1.00000E-90    1.09795E-22
   0.8535    1.00000E-90    1.08534E-22
   0.8574    1.00000E-90    1.07283E-22
   0.8613    1.00000E-90    1.06040E-22
   0.8652    1.00000E-90    1.04807E-22
   0.8692    1.00000E-90    1.03583E-22
   0.8732    1.00000E-90    1.02369E-22
   0.8772    1.00000E-90    1.01164E-22
   0.8812    1.00000E-90    9.99679E-23
   0.8852    1.00000E-90    9.87813E-23
   0.8892    1.00000E-90    9.76042E-23
   0.8933    1.00000E-90    9.64364E-23
   0.8974    1.00000E-90    9.52781E-23
   0.9015    1.00000E-90    9.41301E-23
   0.9056    1.00000E-90    9.29929E-23
   0.9097    1.00000E-90    9.18652E-23
   0.9139    1.00000E-90    9.07470E-23
   0.9180    1.00000E-90    8.96383E-23
   0.9222    1.00000E-90    8.85393E-23
   0.9264    1.00000E-90    8.74498E-23
   0.9307    1.00000E-90    8.63700E-23
   0.9349    1.00000E-90    8.52998E-23
   0.9392    1.00000E-90    8.42394E-23
   0.9435    1.00000E-90    8.31888E-23
   0.9478    1.00000E-90    8.21478E-23
   0.9521    1.00000E-90    8.11167E-23
   0.9564    1.00000E-90    8.00955E-23
   0.9608    1.00000E-90    7.90842E-23
   0.9652    1.00000E-90    7.80828E-23
   0.9696    1.00000E-90    7.70912E-23
   0.9740    1.00000E-90    7.61097E-23
   0.9785    1.00000E-90    7.51381E-23
   0.9829    1.00000E-90    7.41765E-23
   0.9874    1.00000E-90    7.32249E-23
   0.9919    1.00000E-90    7.22834E-23
   0.9965    1.00000E-90    7.13519E-23
   1.0010    1.00000E-90    7.04303E-23
   1.0056    1.00000E-90    6.95180E-23
   1.0102    1.00000E-90    6.86158E-23
   1.0148    1.00000E-90    6.77236E-23
   1.0194    1.00000E-90    6.68415E-23
   1.0241    1.00000E-90    6.59693E-23
   1.0287    1.00000E-90    6.51071E-23
   1.0334    1.00000E-90    6.42549E-23
   1.0382    1.00000E-90    6.34127E-23
   1.0429    1.00000E-90    6.25804E-23
   1.0477    1.00000E-90    6.17580E-23
   1.0524    1.00000E-90    6.09455E-23
   1.0572    1.00000E-90    6.01428E-23
   1.0621    1.00000E-90    5.93500E-23
   1.0669    1.00000E-90    5.85669E-23
   1.0718    1.00000E-90    5.77935E-23
   1.0767    1.00000E-90    5.70297E-23
   1.0816    1.00000E-90    5.62756E-23
   1.0865    1.00000E-90    5.55311E-23
   1.0915    1.00000E-90    5.47960E-23
   1.0965    1.00000E-90    5.40704E-23
   1.1015    1.00000E-90    5.33541E-23
   1.1065    1.00000E-90    5.26471E-23
   1.1116    1.00000E-90    5.19493E-23
   1.1166    1.00000E-90    5.12606E-23
   1.1217    1.00000E-90    5.05810E-23
   1.1269    1.00000E-90    4.99104E-23
   1.1320    1.00000E-90    4.92485E-23
   1.1372    1.00000E-90    4.85955E-23
   1.1424    1.00000E-90    4.79511E-23
   1.1476    1.00000E-90    4.73154E-23
   1.1528    1.00000E-90    4.66882E-23
   1.1581    1.00000E-90    4.60695E-23
   1.1634    1.00000E-90    4.54592E-23
   1.1687    1.00000E-90    4.48570E-23
   1.1740    1.00000E-90    4.42631E-23
   1.1794    1.00000E-90    4.36772E-23
   1.1847    1.00000E-90    4.30993E-23
   1.1902    1.00000E-90    4.25293E-23
   1.1956    1.00000E-90    4.19670E-23
   1.2010    1.00000E-90    4.14124E-23
   1.2065    1.00000E-90    4.08654E-23
   1.2120    1.00000E-90    4.03258E-23
   1.2176    1.00000E-90    3.97936E-23
   1.2231    1.00000E-90    3.92688E-23
   1.2287    1.00000E-90    3.87511E-23
   1.2343    1.00000E-90    3.82404E-23
   1.2400    1.00000E-90    3.77368E-23
   1.2456    1.00000E-90    3.72400E-23
   1.2513    1.00000E-90    3.67505E-23
   1.2570    1.00000E-90    3.62693E-23
   1.2628    1.00000E-90    3.57948E-23
   1.2685    1.00000E-90    3.53270E-23
   1.2743    1.00000E-90    3.48656E-23
   1.2801    1.00000E-90    3.44106E-23
   1.2860    1.00000E-90    3.39620E-23
   1.2918    1.00000E-90    3.35197E-23
   1.2977    1.00000E-90    3.30834E-23
   1.3037    1.00000E-90    3.26533E-23
   1.3096    1.00000E-90    3.22284E-23
   1.3156    1.00000E-90    3.18092E-23
   1.3216    1.00000E-90    3.13956E-23
   1.3276    1.00000E-90    3.09878E-23
   1.3337    1.00000E-90    3.05855E-23
   1.3398    1.00000E-90    3.01888E-23
   1.3459    1.00000E-90    2.97974E-23
   1.3520    1.00000E-90    2.94114E-23
   1.3582    1.00000E-90    2.90307E-23
   1.3644    1.00000E-90    2.86551E-23
   1.3706    1.00000E-90    2.82847E-23
